Comment,Designator,Footprint,Quantity,Manufacturer Part,LCSC Part #,Notes
10u,"C1,C2",C_0805_2012Metric,2,10u X5R,,
1n,"C10,C17",C_0402_1005Metric,2,1n C0G,,
100p,"C14,C15",C_0402_1005Metric,2,100p C0G,,
100n,"C3,C11,C18",C_0402_1005Metric,3,100n X7R,,
1u,"C4,C5,C6,C12,C13",C_0603_1608Metric,5,1u X7R,,
220p,"C7,C8",C_0402_1005Metric,2,220p C0G,,
4.7n,"C9,C16",C_0603_1608Metric,2,4.7n C0G,,
TO MAIN BOARD,J1,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,1,JST SM06B-SRSS-TB,,
RIGHT SPEAKER,J2,JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,1,JST SM02B-SRSS-TB,,
RIGHT OUTSIDE (REF) MIC,J3,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,JST SM04B-SRSS-TB,,
RIGHT IN-CUP (ERR) MIC,J4,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,JST SM04B-SRSS-TB,,
10k,"R1,R2",R_0402_1005Metric,2,10k 1% 02_1,,
100,"R10,R17",R_0402_1005Metric,2,100 1% 02_1,,isolates the cable capacitance
150k,"R13,R14",R_0402_1005Metric,2,150k 1% 02_1,,
10,R3,R_0402_1005Metric,1,10 1% 02_1,,
22k,"R4,R5,R11,R12",R_0402_1005Metric,4,22k 1% 02_1,,
75k,"R6,R7",R_0402_1005Metric,2,75k 1% 02_1,,
8.2k,"R8,R9,R15,R16",R_0402_1005Metric,4,8.2k 1% 02_1,,
MCP6001,U1,SOT-23-5,1,MCP6001T-I/OT,,
MCP6022,"U2,U3",TSSOP-8_4.4x3mm_P0.65mm,2,MCP6022-I/ST,,
