Designator,Mid X,Mid Y,Layer,Rotation
D4,129.200mm,-127.600mm,Bottom,-90.0
D5,131.200mm,-127.600mm,Bottom,-90.0
D6,133.200mm,-127.600mm,Bottom,-90.0
SW1,123.800mm,-126.400mm,Bottom,0.0
C1,148.619mm,-84.002mm,Top,90.0
C2,152.262mm,-89.986mm,Top,0.0
C3,146.191mm,-90.957mm,Top,90.0
C4,117.590mm,-107.605mm,Top,180.0
C5,112.468mm,-91.344mm,Top,0.0
C6,118.901mm,-96.573mm,Top,180.0
C7,115.183mm,-105.245mm,Top,-90.0
C8,119.239mm,-88.807mm,Top,90.0
C9,125.761mm,-88.807mm,Top,90.0
C10,115.352mm,-107.851mm,Top,180.0
C11,131.676mm,-116.746mm,Top,0.0
C12,135.625mm,-114.640mm,Top,180.0
C13,140.145mm,-97.791mm,Top,0.0
C14,121.770mm,-94.961mm,Top,90.0
C15,110.070mm,-85.023mm,Top,90.0
C16,116.131mm,-86.745mm,Top,90.0
C17,116.285mm,-99.892mm,Top,90.0
C18,136.111mm,-116.257mm,Top,0.0
C19,141.294mm,-101.703mm,Top,-90.0
C20,114.446mm,-102.342mm,Top,180.0
C21,113.269mm,-104.758mm,Top,90.0
C22,129.476mm,-124.804mm,Top,0.0
C23,107.741mm,-103.044mm,Top,90.0
C24,114.399mm,-100.731mm,Top,180.0
C25,116.148mm,-97.615mm,Top,90.0
C26,114.741mm,-98.872mm,Top,90.0
C27,104.813mm,-118.191mm,Top,-90.0
C28,107.256mm,-119.229mm,Top,180.0
C29,112.794mm,-126.924mm,Top,-90.0
C30,107.849mm,-98.997mm,Top,90.0
C31,109.727mm,-99.265mm,Top,90.0
C32,114.316mm,-111.811mm,Top,0.0
C33,107.639mm,-109.445mm,Top,90.0
C34,114.349mm,-109.509mm,Top,0.0
C35,111.602mm,-102.641mm,Top,90.0
C36,122.786mm,-87.740mm,Top,180.0
C37,133.532mm,-115.372mm,Top,-90.0
C38,102.922mm,-112.628mm,Top,180.0
C39,105.275mm,-114.499mm,Top,180.0
C40,115.678mm,-119.094mm,Top,90.0
C41,111.317mm,-122.159mm,Top,180.0
C42,117.301mm,-121.351mm,Top,90.0
C43,102.927mm,-115.006mm,Top,-90.0
C44,110.322mm,-124.049mm,Top,-90.0
C45,136.372mm,-117.941mm,Top,0.0
C46,138.564mm,-114.665mm,Top,0.0
C47,138.488mm,-116.837mm,Top,-90.0
C48,124.063mm,-124.301mm,Top,180.0
C49,118.911mm,-122.236mm,Top,-90.0
C50,127.652mm,-122.930mm,Top,0.0
C51,132.924mm,-124.776mm,Top,0.0
C52,121.050mm,-124.719mm,Top,-90.0
C53,128.735mm,-126.405mm,Top,0.0
C54,128.718mm,-117.001mm,Top,0.0
C55,132.371mm,-126.677mm,Top,0.0
C56,114.269mm,-97.050mm,Top,180.0
C57,138.193mm,-120.814mm,Top,-90.0
C58,139.833mm,-121.556mm,Top,-90.0
C59,140.092mm,-118.087mm,Top,90.0
C60,132.505mm,-128.551mm,Top,180.0
C61,136.297mm,-121.014mm,Top,-90.0
C62,113.442mm,-95.205mm,Top,180.0
D1,155.000mm,-92.500mm,Top,90.0
D2,146.000mm,-94.000mm,Top,0.0
D3,119.027mm,-99.929mm,Top,90.0
F1,148.500mm,-88.500mm,Top,90.0
FB1,124.110mm,-95.133mm,Top,180.0
FB2,131.152mm,-114.971mm,Top,0.0
J1,141.000mm,-83.700mm,Top,180.0
J2,154.900mm,-100.000mm,Top,90.0
J3,117.000mm,-126.900mm,Top,0.0
J4,132.000mm,-91.000mm,Top,0.0
J5,103.400mm,-99.000mm,Top,-90.0
J6,103.400mm,-107.500mm,Top,-90.0
J7,156.500mm,-110.500mm,Top,90.0
J8,139.000mm,-126.900mm,Top,0.0
J9,124.500mm,-83.100mm,Top,180.0
L1,113.000mm,-83.600mm,Top,0.0
Q1,147.000mm,-98.500mm,Top,0.0
Q2,123.872mm,-115.841mm,Top,180.0
R1,143.983mm,-90.494mm,Top,-90.0
R2,137.973mm,-90.459mm,Top,-90.0
R3,147.205mm,-83.991mm,Top,90.0
R4,143.069mm,-98.013mm,Top,180.0
R5,140.426mm,-99.305mm,Top,0.0
R6,148.638mm,-91.746mm,Top,180.0
R7,151.802mm,-91.676mm,Top,0.0
R8,142.341mm,-95.372mm,Top,-90.0
R9,138.207mm,-95.326mm,Top,0.0
R10,151.256mm,-88.296mm,Top,0.0
R11,139.671mm,-101.168mm,Top,-90.0
R12,139.619mm,-105.338mm,Top,-90.0
R13,116.713mm,-93.996mm,Top,180.0
R14,120.220mm,-119.586mm,Top,-90.0
R15,123.265mm,-125.906mm,Top,0.0
R16,119.887mm,-107.649mm,Top,0.0
R17,140.059mm,-107.279mm,Top,0.0
R18,129.850mm,-119.744mm,Top,90.0
R19,131.666mm,-118.277mm,Top,0.0
R20,133.969mm,-118.399mm,Top,180.0
R21,117.362mm,-111.956mm,Top,-90.0
R22,115.064mm,-122.341mm,Top,180.0
R23,117.879mm,-118.634mm,Top,0.0
R24,109.757mm,-103.189mm,Top,0.0
R25,107.770mm,-105.386mm,Top,-90.0
R26,114.550mm,-113.211mm,Top,0.0
R27,107.823mm,-111.839mm,Top,90.0
R28,105.760mm,-112.377mm,Top,180.0
R29,113.137mm,-107.272mm,Top,90.0
R30,118.375mm,-109.123mm,Top,0.0
R31,107.684mm,-115.842mm,Top,-90.0
R32,107.133mm,-117.804mm,Top,0.0
R33,113.671mm,-118.731mm,Top,0.0
R34,111.047mm,-120.768mm,Top,180.0
R35,113.133mm,-121.583mm,Top,-90.0
R36,114.982mm,-120.916mm,Top,0.0
R37,118.875mm,-112.690mm,Top,90.0
R38,140.258mm,-111.963mm,Top,-90.0
R39,139.928mm,-109.649mm,Top,-90.0
R40,127.187mm,-114.729mm,Top,0.0
R41,123.854mm,-122.668mm,Top,180.0
R42,120.372mm,-111.551mm,Top,90.0
R43,120.261mm,-121.850mm,Top,-90.0
SW2,143.000mm,-111.500mm,Top,90.0
U1,141.000mm,-90.800mm,Top,0.0
U2,150.500mm,-94.500mm,Top,0.0
U3,113.000mm,-88.000mm,Top,0.0
U4,122.500mm,-90.500mm,Top,0.0
U5,130.000mm,-105.000mm,Top,0.0
U6,117.500mm,-116.000mm,Top,0.0
U7,110.500mm,-108.000mm,Top,90.0
U8,110.500mm,-116.000mm,Top,90.0
U9,125.000mm,-120.000mm,Top,0.0
U10,133.000mm,-121.500mm,Top,0.0
Y1,118.300mm,-104.500mm,Top,90.0
