Designator,Mid X,Mid Y,Layer,Rotation
C1,128.935mm,-95.564mm,Top,90.0
C2,124.552mm,-101.945mm,Top,0.0
C3,110.766mm,-87.540mm,Top,-90.0
C4,124.830mm,-94.459mm,Top,0.0
C5,107.849mm,-89.497mm,Top,90.0
C6,107.890mm,-93.089mm,Top,-90.0
C7,117.507mm,-96.019mm,Top,-90.0
C8,111.132mm,-93.790mm,Top,180.0
C9,117.740mm,-89.532mm,Top,90.0
C10,115.093mm,-84.235mm,Top,0.0
C11,121.643mm,-84.235mm,Top,0.0
C12,107.849mm,-98.497mm,Top,90.0
C13,107.890mm,-102.089mm,Top,-90.0
C14,121.785mm,-96.833mm,Top,180.0
C15,119.632mm,-93.790mm,Top,180.0
C16,118.125mm,-85.520mm,Top,0.0
C17,124.651mm,-86.642mm,Top,-90.0
C18,129.136mm,-98.210mm,Top,0.0
J1,117.000mm,-102.900mm,Top,0.0
J2,130.800mm,-89.000mm,Top,90.0
J3,103.400mm,-89.500mm,Top,-90.0
J4,103.400mm,-98.500mm,Top,-90.0
R1,119.305mm,-95.452mm,Top,0.0
R2,122.026mm,-98.199mm,Top,180.0
R3,124.579mm,-100.091mm,Top,180.0
R4,110.814mm,-91.604mm,Top,-90.0
R5,110.088mm,-95.222mm,Top,0.0
R6,119.483mm,-96.821mm,Top,0.0
R7,113.468mm,-93.765mm,Top,180.0
R8,113.021mm,-95.166mm,Top,0.0
R9,116.127mm,-89.909mm,Top,90.0
R10,115.309mm,-94.470mm,Top,-90.0
R11,115.486mm,-96.438mm,Top,0.0
R12,114.656mm,-98.002mm,Top,0.0
R13,121.674mm,-95.266mm,Top,180.0
R14,121.968mm,-93.765mm,Top,180.0
R15,117.356mm,-93.765mm,Top,180.0
R16,118.865mm,-87.140mm,Top,0.0
R17,118.858mm,-92.313mm,Top,180.0
U1,125.500mm,-97.500mm,Top,0.0
U2,113.500mm,-89.000mm,Top,90.0
U3,122.000mm,-89.000mm,Top,90.0
